Which age group describes you best?,Do you use Spotify?,What is your first top genre?,What is your second top genre?,What is your third top genre?,What is your fourth top genre?,What is your fifth top genre?,What is your first top artist?,What is your second top artist?,What is your third top artist?,What is your fourth top artist?,What is your fifth top artist?,What is your listening time in minutes?
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,Reggaeton ,Persian Pop,Pop Rap,Uk Rap,Ed Sheeran ,J Balvin ,Kendji Girac,Gims,Maluma,41922
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,K-Pop,Classical Piano,Soundtrack,Pop Rock,Sleeping At Last,Yu-Peng Chen,Day6,Olivia Rodrigo,Hoyo-Mix,31272
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Indie Pop ,Dream Smp ,Indie Folk ,Steampunk,Weirdcore,Lovejoy,Mother Mother ,Wilbur Soot,Cavetown ,Lemon Demon,18899
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,Desi Pop,Indie Pop,Nepali Pop,Electropop,Doja Cat ,Mitski,Pinkpantheress,Bartika Eam Rai,Marina,45071
I am 25 years old or older,Yes,Dance Pop,Glitchcore,J-Pop,Motown,Conscious Hip Hop,Lizzo,Bruno Mars,Lionel Richie,Doja Cat,Bo Burnham,2119
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,K-Pop,Dance Pop,Korean R&B,Anime,Boy Band,Day6,Ariana Grande,Yerin Baek,Sam Kim,Taeyeon,48759
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,Lo-Fi Beats,K-Pop,Chill R&B,Electropop,Lany,Niki,Ariana Grande,Jeremy Zucker,Keshi,7049
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Classic Rock,Comedy,Gangster Rap,Blues Rock ,Jam Band,Grateful Dead,Van Halen,Led Zeppelin,The Beatles ,Steely Dan,56830
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,Showtunes,Praise,Chill R&B,Opm,Olivia Rodrigo,Little Mix,Ariana Grande,Taylor Swift,Shawn Mendez,21738
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Indie Pop,Dance Pop,French Pop,Italian Pop,New Wave,The Police,Taylor Swift,Her’S,Måneskin,Ricky Montgomery ,13338
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,K-Pop,Dance Pop,Korean R&B,J-Pop,Electropop,Anson Seabra,Post Malone,Lauv,Keshi,Zico,12389
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,Emo,Indie Pop,J-Pop,Modern Rock,Ariana Grande,Doja Cat,Mother Mother,Mori Calliope ,Twenty One Pilots ,18890
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,K-Pop,Indie Pop,Korean R&B,Dance Pop,Chill R&B,Lany,Jeremy Zucker,Ariana Grande,Lorde,Keshi,109951
I am 25 years old or older,Yes,Indie Soul,Dance Pop,Slaphouse,Neosoul,Chill Hop,H E R M I T,Tom Hillenbrand,Jsunt,Jungle,Hayley Williams,30720
I am 25 years old or older,Yes,Metalcore,Alternative Metal,Chill Hop,Dance Pop,Lo-Fi Beats,H E R M I T,Jsunt ,Limp Bizkit,Sylar,Linkin Park,32837
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,Electropop ,Pop Rap,Indie Pop,Alternative Hip Hop,K Flay,Kate Bush,Childish Gambino ,Willow,Doja Cat,30233
I am 25 years old or older,Yes,J-Rock,Dance Pop,Pop Punk,Country Road,Alternative Metal,Wagakkiband,Kesha,My Chemical Romance,Superfly,Fall Out Boy,29581
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Reggaeton,Dance Pop,Salsa,Trap Queen,Corrido,Bad Bunny,Kali Uchis,Doja Cat,Megan Thee Stallion,Brent Faiyaz,37655
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,Indie Pop,Pop Rock,Indie Poptimism,Alternative R&B,Taylor Swift,Sleeping At Last,Lorde,Maisie Peters,Olivia Rodrigo,112965
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,Modern Rock ,Electropop,Social Media Pop,Pop Rap,Taylor Swift ,Ariana Grande ,Ajr,Halsey ,Olivia Rodrigo ,16771
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Punk,Modern Rock,Indie Rock,Indie Pop,Emo,Ajr,Tally Hall,Glass Animals,Weezer,Green Day,48100
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Pop Punk,Indie Pop,Midwest Emo,Classic Rock,Bubblegrunge,Machine Gun Kelly,Yungblud,Waterparks,Mxmtoon,All Time Low,34044
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop ,Indie Pop,Electropop ,Emo Rap,Reggaeton,Doja Cat,Bad Bunny,Phoebe Bridgers ,Illenium,Terror Jr,25611
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Indie Pop ,Dance Pop ,Indie Rock,Classic Rock,Alternative Hip Hop,"Tyler, The Creator",Phoebe Bridgers,Mitski,Mother Mother,Clairo,44439
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Beatlesque,Dance Pop,Indie Pop,Pop Punk,Classic Rock,The Beatles,Bo Burnham,Matt Maltese,Luke Hemmings,The 1975,22979
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,Pop Rock,Uk-Pop,Soundtrack,Showtunes,Taylor Swift,Ed Sheeran,Ingrid Michaelson,Dresses,Lewis Capaldi,20423
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Canadian Hip Hop,Pop Rap,Chicago Rap,Alternative Hip Hop,Atl Hip Hop,Drake,Kanye West,Young Thug ,Young Stoner Life ,Dj Khaled,38770
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Indie Rock,Underground Hip Hop,Dance Pop,Indie Pop,Gangster Rap,Notorious B.I.G.,"Tyler, The Creator",Sza,Doja Cat ,Radiator Hospital ,24983
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,Classic Rock ,Kollywood ,Soundtrack ,Boy Band ,Taylor Swift,The Beatles,One Direction,Olivia Rodrigo,Lorde,30094
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,Reggaeton ,Pop Rap ,Pop Rock ,Chicago Rap ,Taylor Swift ,Olivia Rodrigo,Kanye West,Justin Bieber ,Jordin Sparks,35356
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Pop Punk,Math Rock,Indie Rock,Modern Rock,Comedy,Still Woozy,Hail The Sun,Paramore,Turnstile,La Dispute,38769
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,K-Pop,Melodic Dubstep,Electropop,Progressive House,Justin Bieber,Bts,Illenium,Khalid,Dabin,90952
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Dance Pop,Boy Band,Emo,Post-Teen Pop,Broadway ,The Vamps,5 Seconds Of Summer ,Jonas Brothers,Little Mix,Jack & Jack,31358
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Pop Rap,Alternative R&B,Trap Queen ,Lo-Fi Beats,Dance Pop ,Megan Thee Stallion ,Doja Cat ,Saweetie,Summer Walker ,The Weeknd ,31142
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Electropop ,Dance Pop,Opm,Pop Rock,Movie Tunes,Chelsea Cutler,Jeremy Zucker,Quinn Xcii,James Tw,Ed Sheeran,2276
"I am 18, 19, 20, 21, 22, 23, or 24 years old",Yes,Indie Folk,Indie Pop,Classic Rock,Vocal Jazz,Neo Mellow,Harry Styles,Abba,Jack Johnson,Ray Lamontagne,Modest Mouse,59665
I am 25 years old or older,Yes,Soundtrack,Dance Pop,Modern Rock,Indie Pop,Indie Rock,Central Park Cast,Bleachers,Cast Of Zoey'S Extraordinary Playlist,Twenty One Pilots,Vampire Weekend,9455
I am 25 years old or older,Yes,Indie Pop,Stomp And Holler,Indie Rock,Dance Pop,Indie Folk,Central Park Cast,Typhoon,Twenty One Pilots,Third Eye Blind,Bleachers,37120
