Age Group,Order,Genre,Artist,Listening Time
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Pop Rap,Glass Animals,33110
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Lo-Fi Chill,Mitski,33110
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Indie Poptimism,Kendrick Lamar,33110
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,Kanye West,31644
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Video Game Music,Still Woozy,31644
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Pop Rap,J Cole,31644
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Indie Pop,T-Pain,31644
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Indie Rock,Mariah Carey ,31644
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,K-Pop,Bts,53846
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Dance Pop,Ariana Grande,53846
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Korean R&B,Agust D,53846
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Chill R&B,Doja Cat,53846
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Reggaeton,Joji,53846
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Anime,Vi Seconds,3150
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Anime Rap,Lucky Chops,3150
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Dance Pop,Shofu,3150
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Brass Band,Insaneintherain,3150
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Otacore,Quinn Xcii,3150
I am 25 years old or older,1,,John Mayer,54897
I am 25 years old or older,2,,The Beatles ,54897
I am 25 years old or older,3,,Chaka Khan ,54897
I am 25 years old or older,4,,Ed Sheeran ,54897
I am 25 years old or older,5,,Elton John ,54897
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,J-Pop,Bts,32569
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,K-Pop,Persona 5 Original Sound Track,32569
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Video Game Music,Nobuo Uematsu,32569
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Future Bass ,Eve,32569
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Lo-Fi,Yoasobi,32569
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,Grandson,103227
