Age Group,Order,Genre,Artist,Listening Time
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Electropop,Khalid,90952
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Progressive House,Dabin,90952
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Dance Pop,The Vamps,31358
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Boy Band,5 Seconds Of Summer ,31358
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Emo,Jonas Brothers,31358
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Post-Teen Pop,Little Mix,31358
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Broadway ,Jack & Jack,31358
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Pop Rap,Megan Thee Stallion ,31142
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Alternative R&B,Doja Cat ,31142
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Trap Queen ,Saweetie,31142
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Lo-Fi Beats,Summer Walker ,31142
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Dance Pop ,The Weeknd ,31142
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Electropop ,Chelsea Cutler,2276
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Dance Pop,Jeremy Zucker,2276
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Opm,Quinn Xcii,2276
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Pop Rock,James Tw,2276
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Movie Tunes,Ed Sheeran,2276
"I am 18, 19, 20, 21, 22, 23, or 24 years old",1,Indie Folk,Harry Styles,59665
"I am 18, 19, 20, 21, 22, 23, or 24 years old",2,Indie Pop,Abba,59665
"I am 18, 19, 20, 21, 22, 23, or 24 years old",3,Classic Rock,Jack Johnson,59665
"I am 18, 19, 20, 21, 22, 23, or 24 years old",4,Vocal Jazz,Ray Lamontagne,59665
"I am 18, 19, 20, 21, 22, 23, or 24 years old",5,Neo Mellow,Modest Mouse,59665
I am 25 years old or older,1,Soundtrack,Central Park Cast,9455
I am 25 years old or older,2,Dance Pop,Bleachers,9455
I am 25 years old or older,3,Modern Rock,Cast of Zoey's Extraordinary Playlist,9455
I am 25 years old or older,4,Indie Pop,Twenty One Pilots,9455
I am 25 years old or older,5,Indie Rock,Vampire Weekend,9455
I am 25 years old or older,1,Indie Pop,Central Park Cast,37120
I am 25 years old or older,2,Stomp And Holler,Typhoon,37120
I am 25 years old or older,3,Indie Rock,Twenty One Pilots,37120
I am 25 years old or older,4,Dance Pop,Third Eye Blind,37120
I am 25 years old or older,5,Indie Folk,Bleachers,37120
